case_name,lambda_label,zeta_label,A_label,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
G1_A0,,,,0.1,2.0,0.0,1.0,1.0,0.0,10.0,0.01,0.0,0.0,0.1,25,400,20000,0.0001,0.00168173169337088,0.0006023498281462084,0.001149316699451397,6.258123175939545e-05,group1_A0_basic
G2_L01,L01,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0001,25,400,20000,0.0001,0.039751089679821425,0.013651612049745894,0.03241244564306159,0.046678390353918076,group2_lambda_sweep_A1
G2_L02,L02,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0001623776739188721,25,400,20000,0.0001,0.013212843462968898,0.004537652036292123,0.013438628860687196,0.0034636170603334904,group2_lambda_sweep_A1
G2_L03,L03,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.00026366508987303583,25,400,20000,0.0001,0.0107485462083529,0.0036913449195252394,0.008157366970774071,0.0038011271972209215,group2_lambda_sweep_A1
G2_L04,L04,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.00042813323987193956,25,400,20000,0.0001,0.014602584715238296,0.005014927214867683,0.014409949020980306,0.00494313333183527,group2_lambda_sweep_A1
G2_L05,L05,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0006951927961775605,25,400,20000,0.0001,0.018170457387311476,0.006240232331138702,0.01860864921057076,0.00529269827529788,group2_lambda_sweep_A1
G2_L06,L06,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0011288378916846883,25,400,20000,0.0001,0.01344391588212206,0.004617008628704645,0.014702742264872448,0.0020580661948770285,group2_lambda_sweep_A1
G2_L07,L07,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0018329807108324356,25,400,20000,0.0001,0.019468786544947114,0.006686114094775294,0.01771827647935767,0.005270966328680515,group2_lambda_sweep_A1
G2_L08,L08,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.002976351441631319,25,400,20000,0.0001,0.019295722976933598,0.006626679329351375,0.01887289150202126,0.005993071012198925,group2_lambda_sweep_A1
G2_L09,L09,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.004832930238571752,25,400,20000,0.0001,0.014516880110338914,0.004985493908098308,0.015705501006251232,0.002269421936944127,group2_lambda_sweep_A1
G2_L10,L10,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.007847599703514606,25,400,20000,0.0001,0.011184528450374582,0.0038410731528038286,0.012942899643914069,0.001607510494068265,group2_lambda_sweep_A1
G2_L11,L11,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.012742749857031334,25,400,20000,0.0001,0.017116847545581324,0.005878393877729068,0.018913942916523874,0.0013358854921534657,group2_lambda_sweep_A1
G2_L12,L12,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0206913808111479,25,400,20000,0.0001,0.017170582933042775,0.005896848080340246,0.01545630830480274,0.0015632191207259893,group2_lambda_sweep_A1
G2_L13,L13,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.03359818286283781,25,400,20000,0.0001,0.017791959953772307,0.006110245954258972,0.020727950072240264,0.0010729479836300015,group2_lambda_sweep_A1
G2_L14,L14,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.05455594781168514,25,400,20000,0.0001,0.023025275315535974,0.007907509667737482,0.025960060691785247,0.0010956140467897058,group2_lambda_sweep_A1
G2_L15,L15,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.08858667904100823,25,400,20000,0.0001,0.07425272828767653,0.025500418941549537,0.06017235467722232,0.0040382747538387775,group2_lambda_sweep_A1
G2_L16,L16,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.14384498882876628,25,400,20000,0.0001,0.04543499876074952,0.015603621977620824,0.041303077473823724,0.002685870509594679,group2_lambda_sweep_A1
G2_L17,L17,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.23357214690901212,25,400,20000,0.0001,0.05579943233790581,0.019163052107721682,0.049567271649376715,0.0030706904362887144,group2_lambda_sweep_A1
G2_L18,L18,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.3792690190732246,25,400,20000,0.0001,0.039735705429488045,0.013646328677166196,0.03444362292539496,0.0013133531901985407,group2_lambda_sweep_A1
G2_L19,L19,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.615848211066026,25,400,20000,0.0001,0.028417212669951713,0.009759248514443424,0.029076131915997894,0.0007021824712865055,group2_lambda_sweep_A1
G2_L20,L20,,,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,1.0,25,400,20000,0.0001,0.10293020363402813,0.035349048781583216,0.08018940844843875,0.005060131661593914,group2_lambda_sweep_A1
G3_Z01,,Z01,,0.02,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33321487798725696,0.33321487798692373,0.007847599703514606,25,400,20000,0.0001,0.023533440439977182,0.010578989174709053,0.046421128872004974,0.022793656215071678,group3_zeta_sweep_A1
G3_Z02,,Z02,,0.04526315789473684,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3327279484817329,0.3327279484814002,0.007847599703514606,25,400,20000,0.0001,0.07532516669762572,0.02992946715346725,0.10087696884200978,0.035973891615867615,group3_zeta_sweep_A1
G3_Z03,,Z03,,0.07052631578947369,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3318692695184098,0.3318692695180779,0.007847599703514606,25,400,20000,0.0001,0.08377053584674281,0.030638952283872645,0.08406796922076293,0.03078201226890087,group3_zeta_sweep_A1
G3_Z04,,Z04,,0.09578947368421052,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33064744542957153,0.33064744542924085,0.007847599703514606,25,400,20000,0.0001,0.03814155006873542,0.013195614780608569,0.035267307179508656,0.005681408569216728,group3_zeta_sweep_A1
G3_Z05,,Z05,,0.12105263157894737,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.329074516358479,0.3290745163581499,0.007847599703514606,25,400,20000,0.0001,0.016605150810229286,0.005529961596918433,0.011068396696663263,0.002191136823967099,group3_zeta_sweep_A1
G3_Z06,,Z06,,0.1463157894736842,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3271656356198178,0.32716563561949064,0.007847599703514606,25,400,20000,0.0001,0.016570324947202463,0.005371906097493061,0.010774462125264929,0.0021438375115394592,group3_zeta_sweep_A1
G3_Z07,,Z07,,0.17157894736842103,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3249386774364992,0.3249386774361742,0.007847599703514606,25,400,20000,0.0001,0.012706481202247015,0.0040395091129380115,0.01175822281540001,0.0024846969172358513,group3_zeta_sweep_A1
G3_Z08,,Z08,,0.19684210526315787,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.32241379423125566,0.3224137942309332,0.007847599703514606,25,400,20000,0.0001,0.041516213189709335,0.01300709334575325,0.02549547346099451,0.0042105247266590595,group3_zeta_sweep_A1
G3_Z09,,Z09,,0.22210526315789472,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3196129437969855,0.3196129437966659,0.007847599703514606,25,400,20000,0.0001,0.02912415138764343,0.009023563492964426,0.02565411908232207,0.005939788185060024,group3_zeta_sweep_A1
G3_Z10,,Z10,,0.24736842105263157,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.31655940637275604,0.31655940637243946,0.007847599703514606,25,400,20000,0.0001,0.016043368795412943,0.004927917625002779,0.014930731707038791,0.0030815862119197845,group3_zeta_sweep_A1
G3_Z11,,Z11,,0.27263157894736845,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3132773100967489,0.3132773100964356,0.007847599703514606,25,400,20000,0.0001,0.00718265663851449,0.0021912567974690773,0.006733064812008471,0.0007834913558326662,group3_zeta_sweep_A1
G3_Z12,,Z12,,0.29789473684210527,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3097911807772144,0.3097911807769046,0.007847599703514606,25,400,20000,0.0001,0.015383902209855943,0.004667840523356861,0.01387491155520959,0.0026350594125688076,group3_zeta_sweep_A1
G3_Z13,,Z13,,0.3231578947368421,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3061255287536456,0.3061255287533395,0.007847599703514606,25,400,20000,0.0001,0.014082442039245252,0.004254326672708427,0.012371783936043101,0.0029410345014184713,group3_zeta_sweep_A1
G3_Z14,,Z14,,0.34842105263157896,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.30230448215389144,0.3023044821535891,0.007847599703514606,25,400,20000,0.0001,0.019858101188550085,0.005977997682566973,0.020113129234707205,0.0053525883704423904,group3_zeta_sweep_A1
G3_Z15,,Z15,,0.3736842105263158,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29835147239620774,0.29835147239590937,0.007847599703514606,25,400,20000,0.0001,0.006851560385994682,0.0020566541496807797,0.0046061419480333265,0.0008517056121490896,group3_zeta_sweep_A1
G3_Z16,,Z16,,0.39894736842105266,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2942889745857345,0.2942889745854402,0.007847599703514606,25,400,20000,0.0001,0.029211482922305763,0.008748100931760814,0.026616673479343267,0.009016250260174274,group3_zeta_sweep_A1
G3_Z17,,Z17,,0.4242105263157895,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29013830268701096,0.2901383026867208,0.007847599703514606,25,400,20000,0.0001,0.018090931990879803,0.0054075952308055555,0.01678170704866072,0.004224361386150122,group3_zeta_sweep_A1
G3_Z18,,Z18,,0.4494736842105263,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.28591945711821704,0.2859194571179311,0.007847599703514606,25,400,20000,0.0001,0.007635784390107179,0.0022790024458002496,0.00705189540852641,0.0012924092588946223,group3_zeta_sweep_A1
G3_Z19,,Z19,,0.4747368421052632,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.28165102074293996,0.2816510207426583,0.007847599703514606,25,400,20000,0.0001,0.057415017798427045,0.017116189015504536,0.04905685289089373,0.021541502326726913,group3_zeta_sweep_A1
G3_Z20,,Z20,,0.5,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2773500981126146,0.2773500981123372,0.007847599703514606,25,400,20000,0.0001,0.008473384550182107,0.002523798525087964,0.008597610521379029,0.0017758357571437955,group3_zeta_sweep_A1
G4_A01,,,A01,0.1,2.0,0.0,1.0,1.0,0.0,10.0,0.01,0.0,0.0,0.007847599703514606,25,400,20000,0.0001,0.08450716738320399,0.030268132515458245,0.09589919278957011,0.03273647278547287,group4_A_sweep
G4_A02,,,A02,0.1,2.0,0.5,1.0,1.0,0.0,10.0,0.01,0.16520465011377244,0.16520465011360722,0.007847599703514606,25,400,20000,0.0001,0.10622033725743453,0.034579454339820244,0.09419943592359273,0.020060162991285324,group4_A_sweep
G4_A03,,,A03,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.007847599703514606,25,400,20000,0.0001,0.01859863689845531,0.006387280893099323,0.019660058355283172,0.0025928246323019266,group4_A_sweep
G4_A04,,,A04,0.1,2.0,1.5,1.0,1.0,0.0,10.0,0.01,0.49561395034131733,0.4956139503408217,0.007847599703514606,25,400,20000,0.0001,0.008676193237335835,0.003515482891402247,0.010880044440267966,0.0023213066160678864,group4_A_sweep
