case_name,lambda_label,zeta_label,A_label,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
G3_Z01,,Z01,,0.02,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33321487798725696,0.33321487798692373,0.007847599703514606,25,400,20000,0.0001,0.023533440439977182,0.010578989174709053,0.046421128872004974,0.022793656215071678,group3_zeta_sweep_A1
G3_Z02,,Z02,,0.04526315789473684,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3327279484817329,0.3327279484814002,0.007847599703514606,25,400,20000,0.0001,0.07532516669762572,0.02992946715346725,0.10087696884200978,0.035973891615867615,group3_zeta_sweep_A1
G3_Z03,,Z03,,0.07052631578947369,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3318692695184098,0.3318692695180779,0.007847599703514606,25,400,20000,0.0001,0.08377053584674281,0.030638952283872645,0.08406796922076293,0.03078201226890087,group3_zeta_sweep_A1
G3_Z04,,Z04,,0.09578947368421052,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33064744542957153,0.33064744542924085,0.007847599703514606,25,400,20000,0.0001,0.03814155006873542,0.013195614780608569,0.035267307179508656,0.005681408569216728,group3_zeta_sweep_A1
G3_Z05,,Z05,,0.12105263157894737,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.329074516358479,0.3290745163581499,0.007847599703514606,25,400,20000,0.0001,0.016605150810229286,0.005529961596918433,0.011068396696663263,0.002191136823967099,group3_zeta_sweep_A1
G3_Z06,,Z06,,0.1463157894736842,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3271656356198178,0.32716563561949064,0.007847599703514606,25,400,20000,0.0001,0.016570324947202463,0.005371906097493061,0.010774462125264929,0.0021438375115394592,group3_zeta_sweep_A1
G3_Z07,,Z07,,0.17157894736842103,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3249386774364992,0.3249386774361742,0.007847599703514606,25,400,20000,0.0001,0.012706481202247015,0.0040395091129380115,0.01175822281540001,0.0024846969172358513,group3_zeta_sweep_A1
G3_Z08,,Z08,,0.19684210526315787,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.32241379423125566,0.3224137942309332,0.007847599703514606,25,400,20000,0.0001,0.041516213189709335,0.01300709334575325,0.02549547346099451,0.0042105247266590595,group3_zeta_sweep_A1
G3_Z09,,Z09,,0.22210526315789472,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3196129437969855,0.3196129437966659,0.007847599703514606,25,400,20000,0.0001,0.02912415138764343,0.009023563492964426,0.02565411908232207,0.005939788185060024,group3_zeta_sweep_A1
G3_Z10,,Z10,,0.24736842105263157,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.31655940637275604,0.31655940637243946,0.007847599703514606,25,400,20000,0.0001,0.016043368795412943,0.004927917625002779,0.014930731707038791,0.0030815862119197845,group3_zeta_sweep_A1
