编号,zeta,相对L2误差(%),RMSE,最大绝对误差,物理残差MSE
Z01,0.020000,2.353344,1.057899e-02,4.642113e-02,2.279366e-02
Z02,0.045263,7.532517,2.992947e-02,1.008770e-01,3.597389e-02
Z03,0.070526,8.377054,3.063895e-02,8.406797e-02,3.078201e-02
Z04,0.095789,3.814155,1.319561e-02,3.526731e-02,5.681409e-03
Z05,0.121053,1.660515,5.529962e-03,1.106840e-02,2.191137e-03
Z06,0.146316,1.657032,5.371906e-03,1.077446e-02,2.143838e-03
Z07,0.171579,1.270648,4.039509e-03,1.175822e-02,2.484697e-03
Z08,0.196842,4.151621,1.300709e-02,2.549547e-02,4.210525e-03
Z09,0.222105,2.912415,9.023563e-03,2.565412e-02,5.939788e-03
Z10,0.247368,1.604337,4.927918e-03,1.493073e-02,3.081586e-03
Z11,0.272632,0.718266,2.191257e-03,6.733065e-03,7.834914e-04
Z12,0.297895,1.538390,4.667841e-03,1.387491e-02,2.635059e-03
Z13,0.323158,1.408244,4.254327e-03,1.237178e-02,2.941035e-03
Z14,0.348421,1.985810,5.977998e-03,2.011313e-02,5.352588e-03
Z15,0.373684,0.685156,2.056654e-03,4.606142e-03,8.517056e-04
Z16,0.398947,2.921148,8.748101e-03,2.661667e-02,9.016250e-03
Z17,0.424211,1.809093,5.407595e-03,1.678171e-02,4.224361e-03
Z18,0.449474,0.763578,2.279002e-03,7.051895e-03,1.292409e-03
Z19,0.474737,5.741502,1.711619e-02,4.905685e-02,2.154150e-02
Z20,0.500000,0.847338,2.523799e-03,8.597611e-03,1.775836e-03
