case_name,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
group1_A0_basic_damped,0.1,2.0,0.0,1.0,1.0,0.0,10.0,0.01,0.0,0.0,0.1,25,400,20000,0.0001,0.00168173169337088,0.0006023498281462084,0.001149316699451397,6.258123175939545e-05,group1_A0_basic
group2_A1_lambda0p0001,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0001,25,400,20000,0.0001,0.039751089679821425,0.013651612049745894,0.03241244564306159,0.046678390353918076,group2_lambda_sweep_A1
group2_A1_lambda0p0003,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.0003,25,400,20000,0.0001,0.0128531544682501,0.004414124992027051,0.0134935992443313,0.003245816333219409,group2_lambda_sweep_A1
group2_A1_lambda0p001,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.001,25,400,20000,0.0001,0.021246677954227126,0.00729669065963327,0.01391893426846752,0.003734585829079151,group2_lambda_sweep_A1
group2_A1_lambda0p003,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.003,25,400,20000,0.0001,0.014213660698981336,0.004881360064142144,0.015371953414088146,0.002920747036114335,group2_lambda_sweep_A1
group2_A1_lambda0p01,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.01,25,400,20000,0.0001,0.022364602302616724,0.007680616474701601,0.025196929156319464,0.00344824674539268,group2_lambda_sweep_A1
group2_A1_lambda0p03,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.03,25,400,20000,0.0001,0.014313508899956804,0.0049156506688667265,0.01679783476847857,0.0009764792630448937,group2_lambda_sweep_A1
group2_A1_lambda0p1,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.1,25,400,20000,0.0001,0.011823416031360065,0.004060484632319617,0.014538815715426395,0.0005925505538471043,group2_lambda_sweep_A1
group2_A1_lambda0p3,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,0.3,25,400,20000,0.0001,0.016117161958466863,0.005535074489080038,0.018354322324951322,0.0005380036309361458,group2_lambda_sweep_A1
group2_A1_lambda1,0.1,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3304093002275449,0.33040930022721443,1.0,25,400,20000,0.0001,0.05749292092562081,0.019744642433832744,0.038953346214561785,0.002482390496879816,group2_lambda_sweep_A1
group3_A1_zeta0p02_lambda0p1,0.02,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33321487798725696,0.33321487798692373,0.1,25,400,20000,0.0001,0.001636941027469202,0.0007358542178905734,0.002121283290313733,0.00036504052695818245,group3_zeta_sweep_A1
group3_A1_zeta0p0733333_lambda0p1,0.07333333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33175125280383677,0.331751252803505,0.1,25,400,20000,0.0001,0.05163442921794794,0.01874763704269093,0.06232567050821414,0.0038332866970449686,group3_zeta_sweep_A1
group3_A1_zeta0p126667_lambda0p1,0.12666666666666665,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.328678763812991,0.3286787638126623,0.1,25,400,20000,0.0001,0.008407411398361625,0.002780975379379747,0.011535452853497163,0.00043867866043001413,group3_zeta_sweep_A1
group3_A1_zeta0p18_lambda0p1,0.17999999999999997,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3241291006601725,0.3241291006598483,0.1,25,400,20000,0.0001,0.01872843407357161,0.005922295357612429,0.013046670452411147,0.0009283268009312451,group3_zeta_sweep_A1
group3_A1_zeta0p233333_lambda0p1,0.2333333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3182855921102615,0.31828559210994317,0.1,25,400,20000,0.0001,0.0028996928569232864,0.0008947319996374098,0.0035240181824504058,0.00016102648805826902,group3_zeta_sweep_A1
group3_A1_zeta0p286667_lambda0p1,0.2866666666666667,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3113641868983213,0.3113641868980099,0.1,25,400,20000,0.0001,0.020398631166535074,0.006203468522975631,0.019886776864502076,0.0021478491835296154,group3_zeta_sweep_A1
group3_A1_zeta0p34_lambda0p1,0.33999999999999997,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.30359396661318655,0.3035939666128829,0.1,25,400,20000,0.0001,0.023369226929218966,0.007042693029684207,0.01633863441853467,0.0013462506467476487,group3_zeta_sweep_A1
group3_A1_zeta0p393333_lambda0p1,0.3933333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29520010262574314,0.29520010262544794,0.1,25,400,20000,0.0001,0.0054257637266348305,0.0016256528474530134,0.0028221345331328473,0.00021391651534941047,group3_zeta_sweep_A1
group3_A1_zeta0p446667_lambda0p1,0.44666666666666666,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2863909939273944,0.286390993927108,0.1,25,400,20000,0.0001,0.009458420811805713,0.00282341572597151,0.007521091071319985,0.0006563992355950177,group3_zeta_sweep_A1
group3_A1_zeta0p5_lambda0p1,0.5,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2773500981126146,0.2773500981123372,0.1,25,400,20000,0.0001,0.004560704618346826,0.0013584063748054735,0.0032112174597843934,0.00024478737032040954,group3_zeta_sweep_A1
