case_name,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
group3_A1_zeta0p02_lambda0p1,0.02,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33321487798725696,0.33321487798692373,0.1,25,400,20000,0.0001,0.001636941027469202,0.0007358542178905734,0.002121283290313733,0.00036504052695818245,group3_zeta_sweep_A1
group3_A1_zeta0p0733333_lambda0p1,0.07333333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33175125280383677,0.331751252803505,0.1,25,400,20000,0.0001,0.05163442921794794,0.01874763704269093,0.06232567050821414,0.0038332866970449686,group3_zeta_sweep_A1
group3_A1_zeta0p126667_lambda0p1,0.12666666666666665,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.328678763812991,0.3286787638126623,0.1,25,400,20000,0.0001,0.008407411398361625,0.002780975379379747,0.011535452853497163,0.00043867866043001413,group3_zeta_sweep_A1
group3_A1_zeta0p18_lambda0p1,0.17999999999999997,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3241291006601725,0.3241291006598483,0.1,25,400,20000,0.0001,0.01872843407357161,0.005922295357612429,0.013046670452411147,0.0009283268009312451,group3_zeta_sweep_A1
group3_A1_zeta0p233333_lambda0p1,0.2333333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3182855921102615,0.31828559210994317,0.1,25,400,20000,0.0001,0.0028996928569232864,0.0008947319996374098,0.0035240181824504058,0.00016102648805826902,group3_zeta_sweep_A1
group3_A1_zeta0p286667_lambda0p1,0.2866666666666667,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3113641868983213,0.3113641868980099,0.1,25,400,20000,0.0001,0.020398631166535074,0.006203468522975631,0.019886776864502076,0.0021478491835296154,group3_zeta_sweep_A1
group3_A1_zeta0p34_lambda0p1,0.33999999999999997,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.30359396661318655,0.3035939666128829,0.1,25,400,20000,0.0001,0.023369226929218966,0.007042693029684207,0.01633863441853467,0.0013462506467476487,group3_zeta_sweep_A1
group3_A1_zeta0p393333_lambda0p1,0.3933333333333333,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.29520010262574314,0.29520010262544794,0.1,25,400,20000,0.0001,0.0054257637266348305,0.0016256528474530134,0.0028221345331328473,0.00021391651534941047,group3_zeta_sweep_A1
group3_A1_zeta0p446667_lambda0p1,0.44666666666666666,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2863909939273944,0.286390993927108,0.1,25,400,20000,0.0001,0.009458420811805713,0.00282341572597151,0.007521091071319985,0.0006563992355950177,group3_zeta_sweep_A1
group3_A1_zeta0p5_lambda0p1,0.5,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.2773500981126146,0.2773500981123372,0.1,25,400,20000,0.0001,0.004560704618346826,0.0013584063748054735,0.0032112174597843934,0.00024478737032040954,group3_zeta_sweep_A1
