case_name,lambda_label,zeta_label,zeta,omega0,A,Omega,x0,v0,T,dt,B_steady,B_over_x0,lambda_phys,n_data,n_phys,epochs,lr,relative_l2,rmse,max_abs_error,physics_mse,experiment_group
G3_Z01,,Z01,0.02,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33321487798725696,0.33321487798692373,0.00026366508987303583,25,400,20000,0.0001,0.008030590579324783,0.003609991961093801,0.011494796275771074,0.01957179233431816,group3_zeta_sweep_A1
G3_Z02,,Z02,0.04526315789473684,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3327279484817329,0.3327279484814002,0.00026366508987303583,25,400,20000,0.0001,0.0882350244710453,0.03505902983650176,0.11593017649740806,0.11960215121507645,group3_zeta_sweep_A1
G3_Z03,,Z03,0.07052631578947369,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3318692695184098,0.3318692695180779,0.00026366508987303583,25,400,20000,0.0001,0.18309225897035208,0.0669657288142701,0.13317991988663525,0.4081611633300781,group3_zeta_sweep_A1
G3_Z04,,Z04,0.09578947368421052,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.33064744542957153,0.33064744542924085,0.00026366508987303583,25,400,20000,0.0001,0.019657813266715157,0.006800901663127137,0.019020800359563245,0.00628970330581069,group3_zeta_sweep_A1
G3_Z05,,Z05,0.12105263157894737,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.329074516358479,0.3290745163581499,0.00026366508987303583,25,400,20000,0.0001,0.01637898580176004,0.005454642569365175,0.010375045666313532,0.003989320248365402,group3_zeta_sweep_A1
G3_Z06,,Z06,0.1463157894736842,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3271656356198178,0.32716563561949064,0.00026366508987303583,25,400,20000,0.0001,0.009750585255529073,0.0031610260242449645,0.006658726073580069,0.004756629001349211,group3_zeta_sweep_A1
G3_Z07,,Z07,0.17157894736842103,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3249386774364992,0.3249386774361742,0.00026366508987303583,25,400,20000,0.0001,0.013203856549052104,0.004197629383529886,0.013172844834095976,0.004546449054032564,group3_zeta_sweep_A1
G3_Z08,,Z08,0.19684210526315787,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.32241379423125566,0.3224137942309332,0.00026366508987303583,25,400,20000,0.0001,0.017017080515677064,0.0053314774574496826,0.015256919107281164,0.007094237487763166,group3_zeta_sweep_A1
G3_Z09,,Z09,0.22210526315789472,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.3196129437969855,0.3196129437966659,0.00026366508987303583,25,400,20000,0.0001,0.028960719363016238,0.008972927193510467,0.025193434782853075,0.010198955424129963,group3_zeta_sweep_A1
G3_Z10,,Z10,0.24736842105263157,2.0,1.0,1.0,1.0,0.0,10.0,0.01,0.31655940637275604,0.31655940637243946,0.00026366508987303583,25,400,20000,0.0001,0.019470742826230313,0.005980677622564563,0.020286654179279884,0.006202779710292816,group3_zeta_sweep_A1
