编号,lambda,相对L2误差(%),RMSE,最大绝对误差,物理残差MSE
L01,1.000000e-04,3.975109,1.365161e-02,3.241245e-02,4.667839e-02
L02,1.623777e-04,1.321284,4.537652e-03,1.343863e-02,3.463617e-03
L03,2.636651e-04,1.074855,3.691345e-03,8.157367e-03,3.801127e-03
L04,4.281332e-04,1.460258,5.014927e-03,1.440995e-02,4.943133e-03
L05,6.951928e-04,1.817046,6.240232e-03,1.860865e-02,5.292698e-03
L06,1.128838e-03,1.344392,4.617009e-03,1.470274e-02,2.058066e-03
L07,1.832981e-03,1.946879,6.686114e-03,1.771828e-02,5.270966e-03
L08,2.976351e-03,1.929572,6.626679e-03,1.887289e-02,5.993071e-03
L09,4.832930e-03,1.451688,4.985494e-03,1.570550e-02,2.269422e-03
L10,7.847600e-03,1.118453,3.841073e-03,1.294290e-02,1.607510e-03
L11,1.274275e-02,1.711685,5.878394e-03,1.891394e-02,1.335885e-03
L12,2.069138e-02,1.717058,5.896848e-03,1.545631e-02,1.563219e-03
L13,3.359818e-02,1.779196,6.110246e-03,2.072795e-02,1.072948e-03
L14,5.455595e-02,2.302528,7.907510e-03,2.596006e-02,1.095614e-03
L15,8.858668e-02,7.425273,2.550042e-02,6.017235e-02,4.038275e-03
L16,1.438450e-01,4.543500,1.560362e-02,4.130308e-02,2.685871e-03
L17,2.335721e-01,5.579943,1.916305e-02,4.956727e-02,3.070690e-03
L18,3.792690e-01,3.973571,1.364633e-02,3.444362e-02,1.313353e-03
L19,6.158482e-01,2.841721,9.759249e-03,2.907613e-02,7.021825e-04
L20,1.000000e+00,10.293020,3.534905e-02,8.018941e-02,5.060132e-03
